medallion rate_code pickup_datetime trip_distance store_and_fwd_flag
DFD2202EE08F7A8DC9A57B02ACB81FE2 1 2013-01-07T23:54:15.000+0000 0.7 B
E12F6AF991172EAC3553144A0AF75A19 1 2013-01-08T09:50:05.000+0000 0.7 N
3349F919AA8AE5DC9C50A3773EA45BD8 1 2013-01-10T14:27:28.000+0000 4.4 N
0C5296F3C8B16E702F8F2E06F5106552 1 2013-01-07T22:25:46.000+0000 2.3 N
4C005EEBAA7BF26B84B21586332488A2 1 2013-01-07T21:13:02.000+0000 1.1 N
A3B17384165197E18CA0A1BB61277EE9 1 2013-01-07T06:26:32.000+0000 0.5 N
0F9E0728AB1E40D5CEB0C6EDBF805CCB 1 2013-01-05T19:04:43.000+0000 2.8 N
2C159C8FCCDE50174CF6CFC07E75F1BA 1 2013-01-07T04:45:14.000+0000 0.9 N
DD98E2C3AF5C47B4449F720ECC5778D4 2 2013-01-02T06:58:08.000+0000 3 B
E8950C1BF2CE598E95DE0CA5C89FA4BA 2 2013-01-05T21:23:06.000+0000 0.3 C
2C0E91FF20A856C891483ED63589F982 2 2013-01-07T18:24:11.000+0000 2.3 C
D8AADA4E722C87C10E609654612630DD 2 2013-01-10T17:19:42.000+0000 5.9 C
47CFD616C057758044C57D1B4BEFE759 2 2013-01-07T18:45:40.000+0000 1.9 C
961D9C9506D105D3A7E88229F0487033 2 2013-01-10T15:17:20.000+0000 1 C
38CA8BCB4180F32BEDE6FE085F4E445E 2 2013-01-07T22:35:11.000+0000 16.1 C
312E0CB058D7FC1A6494EDB66D360CD2 4 2013-01-05T14:00:07.000+0000 0.8 B
D5367E940A20B9D2550BF7CF7AE01681 4 2013-01-08T12:50:22.000+0000 1.1 B
1944EB168702ED8E6B9FD94E988D0197 4 2013-01-08T08:30:16.000+0000 0.8 B
0428E3DD09EA5A63D85509C7CA8C0199 4 2013-01-07T16:19:22.000+0000 0.9 B
DDB3F3E0172B1FBF0C9E39CA773CC6E3 4 2013-01-07T18:42:42.000+0000 1 B
B14118AD4BF381D80035EF546CE7AEFA 4 2013-01-10T14:11:57.000+0000 3.3 B
4728FA63A46613319446ED726626FED3 4 2013-01-08T08:04:43.000+0000 1.4 B
24BBC0F0660705A705213997B408E775 4 2013-01-07T15:32:02.000+0000 0.8 B
8C019CD008A70CC21058D22CF873E42E 4 2013-01-08T03:50:07.000+0000 1 B
24929E5F008DBC4C0E551B957F619910 1 2013-01-08T10:38:07.000+0000 20 N
826C0A320CFC98F461EA887C2F9D1509 1 2013-01-08T11:19:08.000+0000 1.8 N
281BD3C8825FF093DCEC21A7E65697CE 1 2013-01-07T18:03:30.000+0000 0.5 N
A954A71B6D44265AE756BF807E069396 1 2013-01-07T10:05:50.000+0000 1.1 N
D0AA7AE64A25B645CD2E4556E691EC0F 1 2013-01-10T14:27:05.000+0000 0.2 N
333D72A3E9C09AD9EFBF79F549EFA67B 1 2013-01-01T09:19:27.000+0000 0.5 N
FC82D4D00FE8AB93B2973EECB3559EA8 1 2013-01-05T21:28:33.000+0000 2.9 N
